"ano";"mes";"acre";"amapa";"amazonas";"para";"rondonia";"roraima";"tocantins";"alagoas";"bahia";"ceara";"maranhao";"paraiba";"pernambuco";"piaui";"rio_grande_do_norte";"sergipe";"espirito_santo";"minas_gerais";"rio_de_janeiro";"sao_paulo";"parana";"rio_grande_do_sul";"santa_catarina";"distrito_federal";"goias";"mato_grosso";"mato_grosso_do_sul"
1997;2;"0,04771226";"0,0";"2,49448288";"217,21978148";"0,24684845";"0,0119484";"0,34293659";"2,13635957";"30,83854492";"4,883052";"4,46369874";"1,58305971";"4,84340173";"2,71120271";"8,82880042";"1,55883891";"1,03494801";"30,11660015";"16,37284824";"85,49943157";"36,36846546";"54,27952382";"26,69765011";"5,36292089";"9,04164057";"4,432298";"3,24548984"
1997;3;"0,0";"0,10001285";"0,844289";"3,84137728";"0,36405535";"0,0";"0,29245729";"4,47146142";"64,72901597";"11,64325114";"1,56545676";"1,61026855";"18,40787807";"1,40428631";"2,55510396";"17,02961553";"10,74871085";"43,63977722";"43,11861378";"117,07193411";"60,84778348";"43,63753188";"17,47060626";"0,90091909";"319,06804599";"8,7839697";"3,12795083"
1997;4;"0,42474401";"0,0";"2,98852085";"15,14397198";"1,79136541";"0,04999048";"0,15007248";"2,02325861";"32,78450964";"56,88414133";"2,50436815";"3,29713695";"7,97145747";"4,57697343";"2,5365147";"3,52830607";"3,22140053";"551,41325911";"144,24664957";"201,19697489";"134,95052879";"74,4475161800001";"101,2092224";"8,11840514";"10,41710821";"6,52698197";"3,66352696"
1997;5;"0,1205721";"0,0";"7,27625613";"3,0573721";"4,11981653";"0,0369";"0,81984469";"3,49411934";"56,70988968";"6,51967194";"5,37122442";"12,87940687";"20,08104848";"3,97924822";"14,18060312";"10,20520706";"6,90762932";"51,78468083";"244,86191353";"377,06555917";"55,4536206500001";"149,6153369";"53,42239979";"23,19348466";"80,16865651";"4,2487021";"1,64735844"
1997;6;"0,0";"0,02452923";"6,49366521";"5,22981382";"4,16899318";"0,0";"2,78436136";"5,21898074";"85,73367129";"79,8978017";"18,30180741";"9,94201274";"46,70547919";"3,84698381";"0,79396426";"74,27941989";"4,23610804";"660,343296870001";"274,21548239";"660,78027079";"107,23323591";"326,78783697";"111,18582283";"259,45535639";"165,19195827";"4,35990627";"2,67496802"
1997;7;"3,75104553";"0,09643838";"1,87764935";"2,88740137";"0,91688121";"0,0";"5,92869219";"9,12304605";"500,40921191";"27,27715999";"7,85629978";"0,43478525";"10,49329733";"4,99296775";"1,03498352";"0,93703152";"13,83653691";"39,28684518";"45,35697385";"206,78076294";"172,18712626";"82,92774211";"104,09560514";"1,04638576";"35,96410484";"5,90502396";"16,01135632"
1997;8;"2,30360567";"0,20150748";"0,22605408";"70,86408328";"0,46999032";"0,0";"2,11880996";"1,18811731";"22,24407404";"19,47373842";"3,40765853";"5,24175472";"12,13215727";"1,6187807";"59,90334764";"5,68482334";"2,42959533";"68,19858694";"217,96180315";"1061,14053637";"66,61233679";"358,41828823";"128,61250629";"6,29999203";"11,58974907";"20,19744401";"21,06713023"
1997;9;"0,0";"0,01120284";"3,5433301";"1,65225289";"6,53659807";"0,0";"1,73779088";"1,4952745";"29,19486885";"86,31039754";"4,27167044";"9,0650568";"9,41567422";"4,51632541";"1,21506042";"33,11872186";"5,31007252";"120,1203521";"80,16945958";"1143,23377351";"45,68979416";"110,49653916";"51,95179081";"13,18907974";"7,88291221";"35,08674377";"2,64973867"
1997;10;"0,1955646";"0,11478";"6,90312133";"4,47294901";"0,86482476";"0,0";"2,03597572";"4,68108954";"54,75100438";"35,8189697";"4,75707919";"7,38426105";"9,50799549";"5,17177655";"8,23424671";"5,31922698";"12,69495367";"70,14438891";"217,42975836";"506,21058189";"119,09763702";"233,60290963";"80,30414927";"3,8723998";"14,43514408";"17,27651199";"3,52606681"
1997;11;"0,22821813";"0,0";"7,68803081";"7,35871685";"1,53985721";"0,0";"2,38371399";"4,7543748";"131,16934108";"37,25974325";"11,23910092";"3,0669249";"12,55402261";"4,93810029";"1,51205456";"148,00315423";"117,62505477";"51,81380587";"101,69968392";"1294,23476542";"50,26915614";"196,20172639";"51,65299894";"12,32591056";"11,96828153";"404,95257811";"176,03404035"
1997;12;"0,0785115";"0,01072322";"31,95248998";"6,66263833";"2,56774666";"0,0";"1,05889752";"3,43236469";"85,63749377";"67,97740224";"26,38596959";"2,84476563";"73,15993909";"26,44177561";"0,5141284";"209,6263814";"14,36067167";"72,27019833";"81,51956289";"657,38237477";"122,10592311";"265,89927489";"62,70237635";"8,2019391";"9,33769015000001";"15,93726891";"11,5005466"
1998;1;"0,0";"0,0";"1,53832403";"7,06638268";"3,04922942";"0,0";"2,91890228";"1,55052106";"37,37950796";"93,68102572";"7,31920946";"0,94866675";"8,40181983";"2,9257026";"18,15710604";"13,49275991";"4,82437874";"49,00599988";"469,86129269";"378,98668221";"51,9903928999999";"66,48391966";"34,59133149";"4,87494176";"13,87220782";"134,55969531";"2,71621078"
1998;2;"0,04888998";"0,0";"0,12407488";"3,67883577";"0,07457473";"0,02711904";"0,48884141";"0,4169476";"58,70150926";"15,10846665";"13,03019899";"2,16351711";"8,36151921";"3,08671569";"0,89973764";"0,33444598";"6,72064324";"170,61928397";"666,57455074";"200,34672398";"61,48070669";"105,79429941";"29,84174045";"22,52674343";"323,0246839";"13,45732237";"10,77182143"
1998;3;"0,07001031";"0,0";"8,43044843";"3,19711988";"0,79121809";"0,0";"0,57702238";"1,1982592";"88,1261996";"28,83442228";"177,10104615";"7,49447415";"12,35540885";"14,21240765";"0,51837019";"2,29313545";"37,27089618";"92,77648243";"47,91700957";"351,73666734";"175,769945";"77,04981099";"100,22375702";"367,49996302";"17,4282371";"19,12232456";"5,11667888"
1998;4;"0,76583628";"0,0";"13,83971946";"1,01784231";"0,7175969";"0,0";"1,05586566";"2,3089699";"61,57315795";"47,83763139";"124,79532408";"0,68774857";"18,48023623";"5,78918844";"1,16533333";"0,15136357";"4,66726643";"201,0524778";"151,21976821";"1997,31649808";"33,71154915";"133,43393183";"112,25711206";"3,95331906";"12,2281547";"82,69548041";"17,13940805"
1998;5;"0,0";"0,02781238";"20,97462576";"7,36875312";"0,79473633";"0,0";"0,34454824";"2,86670033";"26,09951947";"35,95994439";"11,45945387";"2,72808668";"7,40492384";"1,66699283";"1,87749918";"5,57175058";"18,25434735";"386,26049197";"74,89103834";"400,18390431";"46,72364418";"89,86787992";"27,31818851";"3,59495708";"218,73217127";"10,40482221";"2,98855934"
1998;6;"0,3795";"0,0";"1,038734";"3,3793973";"1,8812934";"0,0";"0,86443468";"3,13542788";"57,58459141";"30,8230411";"4,15162425";"0,76559413";"35,3315824";"0,77714959";"7,84960723";"5,7815214";"153,99061056";"84,02028412";"383,58953166";"1064,73932189";"43,1836713";"150,72518624";"30,32325813";"3,0907017";"6,60637808";"15,27802937";"9,85665143"
1998;7;"0,0";"0,0";"4,27087113";"374,68204004";"2,63572794";"0,0";"0,86397185";"15,2096272";"73,1001882";"17,50611328";"2,04106941";"8,12137441";"29,19629188";"10,904924";"6,26510042";"0,62491057";"7,55761087";"115,65757373";"78,03942732";"350,47566306";"121,27313236";"79,06894432";"55,4452681";"3050,03108717";"50,78303462";"4,58864268";"6,01416319"
1998;8;"0,287656";"0,4883612";"27,38909698";"14,88624041";"2,15888943";"0,0";"1,72082147";"2,96126096";"165,79522865";"18,12992156";"6,12695305";"7,36343296";"53,86059269";"17,36358931";"7,56745422";"9,70846947";"7,05958238";"68,33191948";"172,32865111";"518,53392257";"86,92425556";"130,49890928";"225,58850733";"3,77111771";"10,21239443";"142,66627446";"6,06148736"
1998;9;"0,0";"0,18550862";"8,51235008";"18,16438302";"0,63865499";"0,0";"1,30869874";"8,27763279";"117,61435645";"27,71403571";"6,13413392";"9,86563881";"31,90561749";"6,25343395";"9,33280388";"7,16494215";"16,92743859";"146,37483779";"112,7348107";"352,30335184";"69,48901294";"112,9396538";"65,67137076";"7,39694816";"7,18720023";"16,22911466";"2,79827534"
1998;10;"0,035712";"0,4151664";"4,80591508";"6,55733512";"4,91531242";"0,0";"3,1921581";"3,16085818";"36,67574461";"36,12428307";"3,29674396";"3,27108643";"24,65984282";"2,90650231";"1,82766665";"3,784944";"12,80651628";"92,6399806300001";"57,21074621";"312,07588474";"64,91148242";"84,55385509";"30,5265119";"2,43903438";"13,58620617";"12,63190231";"7,52910588"
1998;11;"0,0";"0,0";"3,4340369";"0,62105362";"1,00003";"0,0";"0,7897308";"0,38641367";"48,84584322";"8,92429694";"5,31324114";"1,77998754";"16,7650364";"4,756631";"8,10449433";"6,479677";"1,84565216";"48,02207766";"86,20599929";"629,60555701";"56,30232116";"72,14114423";"33,60241716";"193,30110907";"8,11332146";"13,19452847";"5,05167801"
1998;12;"0,0";"0,0";"34,51743009";"15,0656224";"0,05944923";"0,0";"0,7052566";"2,338628";"77,44447457";"12,58349224";"6,63332985";"6,36634565";"1,0883663";"1,60176925";"0,714645";"23,89260361";"5,74745671";"361,17452491";"339,65440713";"653,15800796";"61,56259586";"218,23791857";"45,84578426";"1,50347705";"318,51264601";"43,12127081";"80,08023885"
1999;1;"0,05474";"0,0";"0,966";"1,03651841";"0,0263709";"0,05759064";"0,75876744";"1,07241884";"29,65283286";"10,47930803";"0,91913965";"1,55353527";"4,48517449";"0,4058024";"0,82922469";"0,63559991";"5,62337127";"27,0745781";"93,41654787";"231,43535963";"20,45364724";"32,6838115";"29,47698201";"0,51389973";"17,23435397";"10,70862375";"3,33896172"
1999;2;"0,0";"12,75632956";"6,857543";"23,25337547";"0,084364";"0,0";"1,52695121";"3,821986";"122,87037262";"28,2056807";"0,226611";"0,47520033";"34,3712136";"1,81893";"1,8055083";"0,455944";"2,1446732";"142,4380258";"63,6579261";"400,36913717";"38,1747934";"143,19683325";"18,97020512";"0,113695";"20,15427701";"12,92728688";"2,19195469"
1999;3;"0,0306";"0,0";"5,183874";"8,74106237";"0,09306";"0,0";"1,53239872";"2,1569436";"15,79742801";"10,6401957";"3,03938667";"5,278768";"10,05118485";"2,78363004";"9,98741766";"3,84468483";"9,09457739";"22,64473716";"639,11947524";"574,67684529";"42,2854757";"167,73241297";"34,65409186";"28,7996736";"8,931602";"17,05965601";"3,78384731"
1999;4;"0,0";"0,0";"0,4824242";"4,22240661";"0,1679418";"0,0";"1,52092138";"0,78074586";"21,13077651";"45,19957523";"9,09107329";"3,008513";"9,95627894";"1,30855148";"1,87045175";"0,303328";"10,6896271";"541,34564371";"53,64185288";"339,36056942";"180,90946259";"44,03341149";"53,10016955";"41,55659227";"11,47759065";"23,13633263";"7,5587156"
1999;5;"0,0";"0,0";"0,0877986";"2,93043458";"1,15692982";"0,0";"0,88261242";"0,56532888";"185,75137737";"6,83109008";"7,88548516";"2,11559645";"2,59784656";"0,54542212";"1,32777588";"1,863829";"9,29794381";"128,27291816";"346,75404268";"258,31055189";"337,56491254";"32,83280771";"50,86410693";"2,00526744";"98,06981387";"12,19916448";"2,05777527"
1999;6;"0,07308";"0,0";"0,30274126";"40,14886823";"1,40465406";"0,045";"0,2150329";"1,178203";"27,94548981";"24,19407052";"3,1071927";"0,23599065";"4,8595109";"2,07106291";"2,79372671";"2,70704268";"4,31430888";"218,60164766";"25,91153256";"395,22930528";"38,75863552";"195,07407761";"28,42604057";"9,51577982";"22,77465951";"26,86448498";"77,49174709"
